fname,label
BlaBla0506_110302-AggC-04.wav,Ag
BlaBla0506_110302-AggC-05.wav,Ag
BlaBla0506_110302-DC-01.wav,DC
BlaBla0506_110302-DC-02.wav,DC
BlaBla0506_110302-DC-05.wav,DC
BlaBla0506_110302-DC-06.wav,DC
BlaBla0506_110302-DC-08.wav,DC
BlaBla0506_110302-DC-10.wav,DC
BlaBla0506_110302-DC-11.wav,DC
BlaBla0506_110302-DC-12.wav,DC
BlaBla0506_110302-DC-13.wav,DC
BlaBla0506_110302-DC-14.wav,DC
BlaBla0506_110302-DC-15.wav,DC
BlaBla0506_110302-DC-16.wav,DC
BlaBla0506_110302-NekakleC-02.wav,Ne
BlaBla0506_110302-NekakleC-03.wav,Ne
BlaBla0506_110302-NekakleC-04.wav,Ne
BlaBla0506_110302-NekakleC-05.wav,Ne
BlaBla0506_110302-NekakleC-05a.wav,Ne
BlaBla0506_110302-NekakleC-05b.wav,Ne
BlaBla0506_110302-NekakleC-05c.wav,Ne
BlaBla0506_110302-NekakleC-05d.wav,Ne
BlaBla0506_110302-NekakleC-07.wav,Ne
BlaBla0506_110302-NekakleC-07a.wav,Ne
BlaBla0506_110302-NekakleC-07c.wav,Ne
BlaBla0506_110302-NekakleC-07d.wav,Ne
BlaBla0506_110302-NekakleC-08.wav,Ne
BlaBla0506_110302-NekakleC-09.wav,Ne
BlaBla0506_110302-NekakleC-10.wav,Ne
BlaBla0506_110302-NekakleC-11.wav,Ne
BlaBla0506_110302-NekakleC-12.wav,Ne
BlaBla0506_110302-NekakleC-12a.wav,Ne
BlaBla0506_110302-NekakleC-12b.wav,Ne
BlaBla0506_110302-NekakleC-12c.wav,Ne
BlaBla0506_110302-NekakleC-13.wav,Ne
BlaBla0506_110302-NekakleC-13a.wav,Ne
BlaBla0506_110302-NekakleC-13b.wav,Ne
BlaBla0506_110302-NekakleC-13c.wav,Ne
BlaBla0506_110302-NestC-02.wav,Ne
BlaBla0506_110302-NestC-04.wav,Ne
BlaBla0506_110302-NestC-09.wav,Ne
BlaBla0506_110302-NestC-09a.wav,Ne
BlaBla0506_110302-NestC-09c.wav,Ne
BlaBla0506_110302-NestC-09d.wav,Ne
BlaBla0506_110302-TetC-05.wav,Te
BlaBla0506_110302-TetC-06.wav,Te
BlaBla0506_110302-TetC-08.wav,Te
BlaBla0506_110302-TetC-09.wav,Te
BlaBla0506_110302-TetC-10.wav,Te
BlaBla0506_110302-TetC-11.wav,Te
BlaBla0506_110302-TetC-12.wav,Te
BlaBla0506_110302-TetC-13.wav,Te
BlaBla0506_110302-TetC-14.wav,Te
BlaBla0506_110302-TetC-15.wav,Te
BlaBla0506_110302-TetC-16.wav,Te
BlaBla0506_110302-TetC-17.wav,Te
BlaBla0506_110302-TetC-22.wav,Te
BlaBla0506_110302-WhineC-02.wav,Wh
BlaBla0506_110302-WhineC-06.wav,Wh
BlaBla0506_110302-WhineC-10.wav,Wh
BlaBla0506_110302-WhineC-12.wav,Wh
BlaBla0506_110302-WhineC-13.wav,Wh
BlaBla0506_110304-AggC-07.wav,Ag
BlaBla0506_110304-AggC-09.wav,Ag
BlaBla0506_110304-AggC-10.wav,Ag
