Gathered number of frames_epoch,Gathered number of frames_step,epoch,lr,step,train_feature_penalty_epoch,train_feature_penalty_step,train_loss_epoch,train_loss_step,train_masked_accuracy_epoch,train_masked_accuracy_step,train_unmasked_accuracy_epoch,train_unmasked_accuracy_step
,1360.0,0,3.3333333249174757e-06,49,,0.00017335329903289676,,4.476292610168457,,0.01620762050151825,,0.028433851897716522
,1368.0,0,6.666666649834951e-06,99,,0.00017156526155304164,,3.3180124759674072,,0.08826620131731033,,0.09800045937299728
,1384.0,0,9.999999747378752e-06,149,,0.00019000438624061644,,3.6887948513031006,,0.12220443040132523,,0.12711073458194733
,1392.0,0,1.3333333299669903e-05,199,,0.00016589779988862574,,3.420041799545288,,0.1564117968082428,,0.1457241028547287
,1360.0,0,1.6666666851961054e-05,249,,0.00018179885228164494,,2.898329019546509,,0.19012273848056793,,0.1601313352584839
,1372.0,0,1.9999999494757503e-05,299,,0.00019669646280817688,,3.1006503105163574,,0.22027769684791565,,0.17589794099330902
,1408.0,0,2.3333333956543356e-05,349,,0.00017244288756046444,,2.6579477787017822,,0.24743609130382538,,0.18722714483737946
,1336.0,0,2.6666666599339806e-05,399,,0.00018416462989989668,,2.9259192943573,,0.26744168996810913,,0.19489343464374542
,1360.0,0,2.9999999242136255e-05,449,,0.0001933070452651009,,3.0302228927612305,,0.2854783833026886,,0.20375508069992065
,1380.0,0,3.333333370392211e-05,499,,0.00018289302533958107,,2.642963409423828,,0.3010505437850952,,0.20913705229759216
,1380.0,0,3.666666816570796e-05,549,,0.00017475924687460065,,2.5081639289855957,,0.3160703480243683,,0.2159091830253601
,1372.0,0,3.9999998989515007e-05,599,,0.00016460231563542038,,2.438194513320923,,0.32698729634284973,,0.21988072991371155
,1360.0,0,4.333333345130086e-05,649,,0.00017944953287951648,,2.6334030628204346,,0.3385857939720154,,0.2243700921535492
,1400.0,0,4.666666791308671e-05,699,,0.00016914911975618452,,2.102168083190918,,0.34699225425720215,,0.22762972116470337
,1380.0,0,4.999999873689376e-05,749,,0.00016432179836556315,,1.9705755710601807,,0.35548001527786255,,0.2305000126361847
,1356.0,0,4.982456084690057e-05,799,,0.00020596724061761051,,3.265242576599121,,0.3646235167980194,,0.23399190604686737
,1352.0,0,4.964912295690738e-05,849,,0.00014737034507561475,,1.644843339920044,,0.37199831008911133,,0.23683132231235504
,1332.0,0,4.9473685066914186e-05,899,,0.00018557019939180464,,2.28383731842041,,0.37889426946640015,,0.23934632539749146
,1384.0,0,4.9298247176920995e-05,949,,0.00016122408851515502,,1.8083792924880981,,0.3855148255825043,,0.24269694089889526
,1352.0,0,4.9122805648949e-05,999,,0.00017128177569247782,,2.1133816242218018,,0.39188018441200256,,0.2451811581850052
,1372.0,0,4.8947367758955806e-05,1049,,0.00016696812235750258,,1.992194652557373,,0.39781489968299866,,0.24865053594112396
,1388.0,0,4.8771929868962616e-05,1099,,0.00017043515981640667,,2.3279826641082764,,0.40346837043762207,,0.2508237957954407
,1376.0,0,4.8596491978969425e-05,1149,,0.0001785365166142583,,2.136674165725708,,0.4075795114040375,,0.25220662355422974
,1372.0,0,4.8421054088976234e-05,1199,,0.00017748615937307477,,2.1915531158447266,,0.41205281019210815,,0.2533119022846222
,1360.0,0,4.8245612561004236e-05,1249,,0.00019817792053800076,,1.9400691986083984,,0.41721129417419434,,0.255041241645813
,1372.0,0,4.8070174671011046e-05,1299,,0.00018295137851964682,,2.025068521499634,,0.42084312438964844,,0.2560361623764038
,1356.0,0,4.7894736781017855e-05,1349,,0.00015458436973858625,,1.8157659769058228,,0.42507511377334595,,0.25794562697410583
,1352.0,0,4.7719298891024664e-05,1399,,0.00015917295240797102,,1.9177520275115967,,0.42883312702178955,,0.2592909038066864
,1344.0,0,4.754386100103147e-05,1449,,0.0001821235491661355,,2.2720565795898438,,0.43213072419166565,,0.2602040767669678
,1344.0,0,4.7368419473059475e-05,1499,,0.0001850325643317774,,2.204176664352417,,0.4348224699497223,,0.2601339817047119
,1384.0,0,4.7192981583066285e-05,1549,,0.00018996858852915466,,1.8572982549667358,,0.43806174397468567,,0.2610713541507721
,1376.0,0,4.7017543693073094e-05,1599,,0.00018484119209460914,,1.9523730278015137,,0.4405111074447632,,0.26142585277557373
,1360.0,0,4.68421058030799e-05,1649,,0.0001772746181814,,1.6906994581222534,,0.44281789660453796,,0.26155945658683777
,1372.0,0,4.666666791308671e-05,1699,,0.000177620881004259,,1.9709769487380981,,0.44591280817985535,,0.2624082863330841
,1380.0,0,4.6491226385114715e-05,1749,,0.00019381540187168866,,2.0453789234161377,,0.4483908712863922,,0.26267537474632263
,1316.0,0,4.6315788495121524e-05,1799,,0.0001674803497735411,,1.7877814769744873,,0.4508339762687683,,0.26292213797569275
,1344.0,0,4.614035060512833e-05,1849,,0.00018354716303292662,,2.191673755645752,,0.45298150181770325,,0.2631034851074219
,1328.0,0,4.596491271513514e-05,1899,,0.00018896532128565013,,2.133481979370117,,0.45535051822662354,,0.2632276117801666
,1376.0,0,4.578947482514195e-05,1949,,0.0001759411970851943,,1.995991587638855,,0.4579467475414276,,0.26348215341567993
,1332.0,0,4.5614033297169954e-05,1999,,0.0001665623567532748,,1.6514650583267212,,0.4598650336265564,,0.26355502009391785
,1420.0,0,4.543859540717676e-05,2049,,0.00016275701636914164,,1.8645172119140625,,0.4618672728538513,,0.26380306482315063
,1356.0,0,4.526315751718357e-05,2099,,0.0001646765595069155,,1.53994619846344,,0.4633150100708008,,0.26405104994773865
,1376.0,0,4.508771962719038e-05,2149,,0.0001581162359798327,,1.3554339408874512,,0.46529316902160645,,0.26440441608428955
,1388.0,0,4.491228173719719e-05,2199,,0.00018626144446898252,,1.9672222137451172,,0.46723344922065735,,0.2651444971561432
,1392.0,0,4.4736843847204e-05,2249,,0.00019856708240695298,,2.2294020652770996,,0.4689705967903137,,0.26544439792633057
,1364.0,0,4.4561402319232e-05,2299,,0.0001635753142181784,,1.6340053081512451,,0.4707048237323761,,0.26576247811317444
,1392.0,0,4.438596442923881e-05,2349,,0.00018777295190375298,,2.040261745452881,,0.4723678529262543,,0.2660583257675171
,1376.0,0,4.421052653924562e-05,2399,,0.00017597484111320227,,1.927304983139038,,0.4740077555179596,,0.2660352885723114
,1348.0,0,4.403508864925243e-05,2449,,0.00017439210205338895,,1.79373300075531,,0.475544810295105,,0.26615384221076965
,1368.0,0,4.385965075925924e-05,2499,,0.0001823825150495395,,1.732550024986267,,0.47699570655822754,,0.2661896049976349
,1392.0,0,4.368420923128724e-05,2549,,0.00016174124903045595,,1.5528987646102905,,0.47881612181663513,,0.2664054036140442
,1400.0,0,4.350877134129405e-05,2599,,0.00017647074128035456,,1.845598816871643,,0.4800255000591278,,0.2664201855659485
,1336.0,0,4.333333345130086e-05,2649,,0.00017366194515489042,,1.6002508401870728,,0.4814952611923218,,0.26635777950286865
,1340.0,0,4.315789556130767e-05,2699,,0.0001548402215121314,,1.4310985803604126,,0.48270174860954285,,0.2660401165485382
,1340.0,0,4.298245767131448e-05,2749,,0.0001487730914959684,,1.4885587692260742,,0.4841102063655853,,0.2659492790699005
,1380.0,0,4.280701614334248e-05,2799,,0.00018721920787356794,,2.040562629699707,,0.48520004749298096,,0.26627030968666077
,1368.0,0,4.263157825334929e-05,2849,,0.00017664128972683102,,1.7204769849777222,,0.486356645822525,,0.2660429775714874
,1376.0,0,4.24561403633561e-05,2899,,0.00016472578863613307,,1.5367783308029175,,0.4872845709323883,,0.2658112347126007
,1348.0,0,4.228070247336291e-05,2949,,0.00018498078861739486,,1.7412649393081665,,0.48839545249938965,,0.26598650217056274
,1376.0,0,4.210526458336972e-05,2999,,0.00017416963237337768,,1.6940964460372925,,0.489731103181839,,0.26590052247047424
,1376.0,0,4.192982305539772e-05,3049,,0.0001777927827788517,,1.3521318435668945,,0.4906505048274994,,0.26593711972236633
,1412.0,0,4.175438516540453e-05,3099,,0.00017647094500716776,,1.7935327291488647,,0.4917173683643341,,0.26620611548423767
,1368.0,0,4.157894727541134e-05,3149,,0.0001633282081456855,,1.3059803247451782,,0.4928300976753235,,0.2664724588394165
,1388.0,0,4.140350938541815e-05,3199,,0.00016486988170072436,,1.3340288400650024,,0.4938785433769226,,0.2667848467826843
,1380.0,0,4.1228071495424956e-05,3249,,0.00017887318972498178,,1.7358759641647339,,0.49475663900375366,,0.2666146457195282
,1376.0,0,4.105262996745296e-05,3299,,0.00017985007434617728,,1.7607142925262451,,0.49562063813209534,,0.2666394114494324
,1376.0,0,4.087719207745977e-05,3349,,0.00018887297483161092,,1.936795949935913,,0.4965513050556183,,0.2664889097213745
,1340.0,0,4.070175418746658e-05,3399,,0.00017380820645485073,,1.4095830917358398,,0.49748578667640686,,0.2662932872772217
,1376.0,0,4.0526316297473386e-05,3449,,0.0001648836478125304,,1.178665041923523,,0.49834543466567993,,0.26628533005714417
,1372.0,0,4.0350878407480195e-05,3499,,0.0001757900172378868,,1.6184122562408447,,0.4994523227214813,,0.2664242088794708
,1368.0,0,4.01754368795082e-05,3549,,0.0001821924524847418,,1.9998804330825806,,0.5002343058586121,,0.2664638161659241
,1372.0,0,3.9999998989515007e-05,3599,,0.00017367488180752844,,1.7564270496368408,,0.501396894454956,,0.26663580536842346
,1356.0,0,3.9824561099521816e-05,3649,,0.00015662782243452966,,1.1885532140731812,,0.5022327899932861,,0.2665671706199646
,1388.0,0,3.9649123209528625e-05,3699,,0.0001840546610765159,,1.8239301443099976,,0.5029570460319519,,0.26650184392929077
,1364.0,0,3.9473685319535434e-05,3749,,0.00018876958347391337,,2.262204170227051,,0.5037972927093506,,0.2666743993759155
,1344.0,0,3.9298247429542243e-05,3799,,0.0001825018844101578,,1.6866655349731445,,0.5046237111091614,,0.26669734716415405
,1352.0,0,3.9122805901570246e-05,3849,,0.00017323161591775715,,1.6221857070922852,,0.5054236054420471,,0.26686298847198486
,1364.0,0,3.8947368011577055e-05,3899,,0.00019274852820672095,,2.1225223541259766,,0.5060862302780151,,0.2668525278568268
,1384.0,0,3.8771930121583864e-05,3949,,0.00017358377226628363,,1.5469670295715332,,0.5066765546798706,,0.2668038308620453
,1356.0,0,3.859649223159067e-05,3999,,0.00017457558715250343,,1.5268257856369019,,0.5072994828224182,,0.2667454183101654
,1368.0,0,3.842105434159748e-05,4049,,0.00017974316142499447,,1.4519189596176147,,0.507988452911377,,0.2667582035064697
,1332.0,0,3.8245612813625485e-05,4099,,0.00018084648763760924,,1.7562024593353271,,0.5088691711425781,,0.2670963704586029
,1364.0,0,3.8070174923632294e-05,4149,,0.0001811001857277006,,1.743288516998291,,0.5094042420387268,,0.267074316740036
,1348.0,0,3.78947370336391e-05,4199,,0.00018674007151275873,,1.7730827331542969,,0.5101836919784546,,0.2671501636505127
,1344.0,0,3.771929914364591e-05,4249,,0.00014701321197208017,,0.8503623008728027,,0.5107108354568481,,0.2671312689781189
,1376.0,0,3.754386125365272e-05,4299,,0.00018135952996090055,,1.6506510972976685,,0.5113487243652344,,0.2673746943473816
,1368.0,0,3.7368419725680724e-05,4349,,0.00017171420040540397,,1.4848984479904175,,0.5117841362953186,,0.2673823833465576
,1312.0,0,3.719298183568753e-05,4399,,0.00018508722132537514,,1.720726728439331,,0.5123410224914551,,0.26763319969177246
