Gathered number of frames_epoch,Gathered number of frames_step,epoch,lr,step,train_feature_penalty_epoch,train_feature_penalty_step,train_loss_epoch,train_loss_step,train_masked_accuracy_epoch,train_masked_accuracy_step,train_unmasked_accuracy_epoch,train_unmasked_accuracy_step
,1360.0,0,6.666666649834951e-07,49,,0.0001736220729071647,,4.690665245056152,,0.007250393740832806,,0.010049371048808098
,1368.0,0,1.3333333299669903e-06,99,,0.00017471150204073638,,4.397800922393799,,0.015294804237782955,,0.021968312561511993
,1384.0,0,1.9999999949504854e-06,149,,0.00020033061446156353,,4.293736457824707,,0.04321108013391495,,0.05891904607415199
,1392.0,0,2.6666666599339806e-06,199,,0.00021055417892057449,,3.988264322280884,,0.08223547041416168,,0.08877632021903992
,1360.0,0,3.3333333249174757e-06,249,,0.00023433052410837263,,3.646760940551758,,0.09852954000234604,,0.10262240469455719
,1372.0,0,3.999999989900971e-06,299,,0.00025139175704680383,,3.81666898727417,,0.11501183360815048,,0.11661046743392944
,1408.0,0,4.666666882258141e-06,349,,0.00022502077626995742,,3.264453649520874,,0.13066454231739044,,0.12608039379119873
,1336.0,0,5.333333319867961e-06,399,,0.00025822187308222055,,3.511990785598755,,0.14757409691810608,,0.1335606873035431
,1360.0,0,6.000000212225132e-06,449,,0.0002572977391537279,,3.606325387954712,,0.16562604904174805,,0.14245884120464325
,1380.0,0,6.666666649834951e-06,499,,0.00025504923542030156,,3.1579079627990723,,0.18279050290584564,,0.14981499314308167
,1380.0,0,7.333333542192122e-06,549,,0.00024574410053901374,,3.0182299613952637,,0.20079873502254486,,0.15843933820724487
,1372.0,0,7.999999979801942e-06,599,,0.0002170919324271381,,2.845806360244751,,0.21458491683006287,,0.1637476086616516
,1360.0,0,8.666666872159112e-06,649,,0.00024044053861871362,,3.0985546112060547,,0.22923249006271362,,0.169575497508049
,1400.0,0,9.333333764516283e-06,699,,0.00022795987024437636,,2.416710138320923,,0.2402607798576355,,0.17343631386756897
,1380.0,0,9.999999747378752e-06,749,,0.0002206354693043977,,2.329251527786255,,0.2512940466403961,,0.1782282441854477
,1356.0,0,9.964912351279054e-06,799,,0.00026928065926767886,,3.718919515609741,,0.26315903663635254,,0.1837458610534668
,1352.0,0,9.929824955179356e-06,849,,0.00020351793500594795,,1.8874146938323975,,0.2730267345905304,,0.1877034306526184
,1332.0,0,9.894736649584956e-06,899,,0.00023910956224426627,,2.63975191116333,,0.28222447633743286,,0.19220943748950958
,1384.0,0,9.859649253485259e-06,949,,0.00020247571228537709,,2.2106926441192627,,0.2909020185470581,,0.1967441588640213
