Gathered number of frames_epoch,Gathered number of frames_step,epoch,lr,step,train_feature_penalty_epoch,train_feature_penalty_step,train_loss_epoch,train_loss_step,train_masked_accuracy_epoch,train_masked_accuracy_step,train_unmasked_accuracy_epoch,train_unmasked_accuracy_step
,1360.0,0,1.9999999494757503e-05,49,,0.0002304275840288028,,3.619527578353882,,0.11803407967090607,,0.12277907878160477
,1368.0,0,3.9999998989515007e-05,99,,0.00023465977574232966,,2.7063615322113037,,0.18326765298843384,,0.16416819393634796
,1384.0,0,4.9473685066914186e-05,149,,0.0002443450503051281,,3.0642170906066895,,0.23528148233890533,,0.19799096882343292
,1392.0,0,4.8421054088976234e-05,199,,0.0002259487664559856,,2.9703166484832764,,0.27858778834342957,,0.2172863930463791
,1360.0,0,4.7368419473059475e-05,249,,0.0002499844995327294,,2.3553695678710938,,0.3075309693813324,,0.23334059119224548
,1372.0,0,4.6315788495121524e-05,299,,0.00025479515898041427,,2.695477247238159,,0.33150485157966614,,0.24699266254901886
,1408.0,0,4.526315751718357e-05,349,,0.00021217034372966737,,2.3881170749664307,,0.3528774678707123,,0.2549642026424408
,1336.0,0,4.421052653924562e-05,399,,0.0002487643505446613,,2.589329957962036,,0.3663075268268585,,0.2601265609264374
,1360.0,0,4.315789556130767e-05,449,,0.00025679267127998173,,2.7410471439361572,,0.37958964705467224,,0.26565513014793396
,1380.0,0,4.210526458336972e-05,499,,0.0002516821841709316,,2.413280725479126,,0.3899562954902649,,0.26927056908607483
,1380.0,0,4.105262996745296e-05,549,,0.0002529518387746066,,2.1532461643218994,,0.40079236030578613,,0.27295351028442383
,1372.0,0,3.9999998989515007e-05,599,,0.00022273130889516324,,2.2444214820861816,,0.40830689668655396,,0.27405041456222534
,1360.0,0,3.8947368011577055e-05,649,,0.00023772870190441608,,2.3717379570007324,,0.4172283709049225,,0.2753550708293915
,1400.0,0,3.78947370336391e-05,699,,0.00023127695021685213,,2.024397611618042,,0.4223455786705017,,0.27566346526145935
,1380.0,0,3.684210605570115e-05,749,,0.0002398517244728282,,1.8223552703857422,,0.4278677999973297,,0.2775026261806488
,1356.0,0,3.57894750777632e-05,799,,0.000289588060695678,,3.0406713485717773,,0.4342399537563324,,0.279520720243454
,1352.0,0,3.473684046184644e-05,849,,0.0002195819979533553,,1.5382908582687378,,0.4387006461620331,,0.2806455194950104
,1332.0,0,3.368420948390849e-05,899,,0.00026186491595581174,,2.104088068008423,,0.44368794560432434,,0.28139325976371765
,1384.0,0,3.263157850597054e-05,949,,0.00022704017465002835,,1.7024590969085693,,0.4485301971435547,,0.28282204270362854
,1352.0,0,3.1578947528032586e-05,999,,0.00026740392786450684,,1.9802407026290894,,0.4532439112663269,,0.2841305434703827
,1372.0,0,3.0526316550094634e-05,1049,,0.0002299817424500361,,1.8968563079833984,,0.45731279253959656,,0.2856666147708893
,1388.0,0,2.947368375316728e-05,1099,,0.00024553784169256687,,2.11539363861084,,0.4615306854248047,,0.2872098982334137
,1376.0,0,2.8421052775229327e-05,1149,,0.00027074242825619876,,2.062222957611084,,0.46408507227897644,,0.28739896416664124
,1372.0,0,2.7368421797291376e-05,1199,,0.00025839346926659346,,2.1115708351135254,,0.4671396017074585,,0.28786328434944153
,1360.0,0,2.631578900036402e-05,1249,,0.0003090703976340592,,1.8615328073501587,,0.47081130743026733,,0.2887847125530243
,1372.0,0,2.526315802242607e-05,1299,,0.00026672641979530454,,1.951372742652893,,0.47306859493255615,,0.288607120513916
,1356.0,0,2.4210527044488117e-05,1349,,0.00026177673134952784,,1.7535494565963745,,0.4761684536933899,,0.2895534336566925
,1352.0,0,2.3157894247560762e-05,1399,,0.000254596903687343,,1.8107349872589111,,0.47865554690361023,,0.29015055298805237
,1344.0,0,2.210526326962281e-05,1449,,0.00031697118538431823,,2.197904586791992,,0.4809623658657074,,0.2903994917869568
,1344.0,0,2.105263229168486e-05,1499,,0.00027931900694966316,,2.1320433616638184,,0.48260951042175293,,0.2898857891559601
,1384.0,0,1.9999999494757503e-05,1549,,0.0003102279151789844,,1.847224473953247,,0.48484060168266296,,0.29023414850234985
,1376.0,0,1.894736851681955e-05,1599,,0.00031928488169796765,,1.9259110689163208,,0.4865286350250244,,0.2900620996952057
,1360.0,0,1.78947375388816e-05,1649,,0.00027482263976708055,,1.6740360260009766,,0.4881526529788971,,0.29003003239631653
,1372.0,0,1.6842104741954245e-05,1699,,0.000293065415462479,,1.9668853282928467,,0.49047186970710754,,0.29054105281829834
,1380.0,0,1.5789473764016293e-05,1749,,0.00029745290521532297,,2.060973882675171,,0.49220094084739685,,0.2908032238483429
,1316.0,0,1.473684187658364e-05,1799,,0.0002795951731968671,,1.8068749904632568,,0.49398544430732727,,0.29109498858451843
,1344.0,0,1.3684210898645688e-05,1849,,0.00028538788319565356,,2.1193442344665527,,0.49568673968315125,,0.29133978486061096
,1328.0,0,1.2631579011213034e-05,1899,,0.0002793723833747208,,2.129085063934326,,0.49752140045166016,,0.2915889024734497
,1376.0,0,1.1578947123780381e-05,1949,,0.0002654925629030913,,2.014103651046753,,0.49942290782928467,,0.29179444909095764
,1332.0,0,1.052631614584243e-05,1999,,0.00024722612579353154,,1.6802548170089722,,0.5007321834564209,,0.2918548583984375
,1420.0,0,9.473684258409776e-06,2049,,0.00024247799592558295,,1.8778655529022217,,0.5021986961364746,,0.29193034768104553
,1356.0,0,8.421052370977122e-06,2099,,0.00024068675702437758,,1.5868866443634033,,0.5031986832618713,,0.29194265604019165
,1376.0,0,7.36842093829182e-06,2149,,0.00023426293046213686,,1.3699406385421753,,0.504720151424408,,0.2925281226634979
,1388.0,0,6.315789505606517e-06,2199,,0.00028066241065971553,,1.9845890998840332,,0.5061005353927612,,0.2929289638996124
,1392.0,0,5.263158072921215e-06,2249,,0.0003102817281614989,,2.2726333141326904,,0.5074115991592407,,0.29320359230041504
,1364.0,0,4.210526185488561e-06,2299,,0.00023368117399513721,,1.6646728515625,,0.5087245106697083,,0.2933821976184845
,1392.0,0,3.1578947528032586e-06,2349,,0.00028917379677295685,,2.0721638202667236,,0.510033905506134,,0.2937142848968506
,1376.0,0,2.1052630927442806e-06,2399,,0.00025846960488706827,,2.0484890937805176,,0.511114776134491,,0.2937449514865875
,1348.0,0,1.0526315463721403e-06,2449,,0.00025788345374166965,,1.8306747674942017,,0.5121526122093201,,0.2938232123851776
,1368.0,0,0.0,2499,,0.0002727787068579346,,1.7811347246170044,,0.5131899118423462,,0.29398268461227417
1365.9896240234375,,0,,2499,0.00026037637144327164,,2.160475254058838,,0.4340098202228546,,0.27192363142967224,
